"","ID","gender","order","experiment","difficulty","falseAlarm","trial","decide","trial.start.time","signal","humanResp","humanRT","autoResp","autoRT","ACC","stimlength","RTor","RTand","condition"
"75",5,"Female",4,"n/a","hard","n/a",75,"NO AID",536.213705063,0,1,0.800919055939,1,0.25,0,2.65305137024,0.25,0.800919055939,2
"76",5,"Female",4,"n/a","hard","n/a",76,"NO AID",538.025222063,1,1,0.669432878494,1,0.25,1,2.68973838604,0.25,0.669432878494,2
"77",5,"Female",4,"n/a","hard","n/a",77,"NO AID",539.70755887,0,1,0.387079000473,0,0.25,0,1.82095922821,0.25,0.387079000473,2
"78",5,"Female",4,"n/a","hard","n/a",78,"NO AID",541.107600927,1,1,0.611067056656,1,0.25,1,2.85019881684,0.25,0.611067056656,2
"79",5,"Female",4,"n/a","hard","n/a",79,"NO AID",542.731102943,0,0,0.427594900131,0,0.25,1,1.87885026121,0.25,0.427594900131,2
"80",5,"Female",4,"n/a","hard","n/a",80,"NO AID",544.16634798,1,1,0.472362041473,1,0.25,1,2.53120831594,0.25,0.472362041473,2
"81",5,"Female",4,"n/a","hard","n/a",81,"NO AID",546.61156702,0,0,0.835106134415,0,0.25,1,2.04759460885,0.25,0.835106134415,2
"82",5,"Female",4,"n/a","hard","n/a",82,"NO AID",548.460414886,0,1,0.378300905228,0,0.25,0,2.34341471331,0.25,0.378300905228,2
"83",5,"Female",4,"n/a","hard","n/a",83,"NO AID",549.848561049,1,1,0.454134941101,1,0.25,1,2.39944175878,0.25,0.454134941101,2
"84",5,"Female",4,"n/a","hard","n/a",84,"NO AID",551.319082975,0,0,0.51161980629,0,0.25,1,2.15115535733,0.25,0.51161980629,2
"85",5,"Female",4,"n/a","hard","n/a",85,"NO AID",552.836723089,1,1,0.458034038544,1,0.25,1,2.64054132542,0.25,0.458034038544,2
"86",5,"Female",4,"n/a","hard","n/a",86,"NO AID",554.307312012,1,1,0.483481884003,1,0.25,1,3.33443785795,0.25,0.483481884003,2
"87",5,"Female",4,"n/a","hard","n/a",87,"NO AID",555.801387072,0,0,0.797423124313,0,0.25,1,2.2549050956,0.25,0.797423124313,2
"88",5,"Female",4,"n/a","hard","n/a",88,"NO AID",557.613247871,0,0,0.441539049149,0,0.25,1,2.07922612859,0.25,0.441539049149,2
"89",5,"Female",4,"n/a","hard","n/a",89,"NO AID",559.071891069,0,0,0.470888137817,0,0.25,1,1.79864621377,0.25,0.470888137817,2
"90",5,"Female",4,"n/a","hard","n/a",90,"NO AID",560.554225922,1,1,0.460567951202,1,0.25,1,2.76759429396,0.25,0.460567951202,2
"91",5,"Female",4,"n/a","hard","n/a",91,"NO AID",562.024749994,1,1,0.654046058655,1,0.25,1,2.84229538558,0.25,0.654046058655,2
"92",5,"Female",4,"n/a","hard","n/a",92,"NO AID",563.695297956,0,0,0.463516950607,0,0.25,1,1.93007493243,0.25,0.463516950607,2
"93",5,"Female",4,"n/a","hard","n/a",93,"NO AID",565.165984869,1,1,0.544844865799,1,0.25,1,2.82922654866,0.25,0.544844865799,2
"94",5,"Female",4,"n/a","hard","n/a",94,"NO AID",566.71871686,1,1,0.472104072571,1,0.25,1,2.53010161747,0.25,0.472104072571,2
"95",5,"Female",4,"n/a","hard","n/a",95,"NO AID",568.201072931,0,0,0.597764015198,0,0.25,1,2.21897269573,0.25,0.597764015198,2
"96",5,"Female",4,"n/a","hard","n/a",96,"NO AID",569.812923908,0,0,0.497922897339,0,0.25,1,1.9911828681,0.25,0.497922897339,2
"97",5,"Female",4,"n/a","hard","n/a",97,"NO AID",571.318767071,0,0,0.656090974808,0,0.25,1,2.12176880454,0.25,0.656090974808,2
"98",5,"Female",4,"n/a","hard","n/a",98,"NO AID",572.989213943,0,1,0.353662967682,0,0.25,0,2.0960774559,0.25,0.353662967682,2
"99",5,"Female",4,"n/a","hard","n/a",99,"NO AID",574.353973866,1,1,0.620917081833,1,0.25,1,2.70096021768,0.25,0.620917081833,2
