"","ID","condition","gender","order","difficulty","falseAlarm","trial","decide","signal","humanResp","humanRT","autoResp","ACC","stimlength","A","B","C","Y_bar.jkl"
"130",15,10,2,2,2,1,60.5,3,0.508333333333333,0.108333333333333,0.605872261524208,0.425,0.708333333333333,2.50895723917967,2,1,2,0.706547619047619
"131",17,10,1,1,2,1,60.5,3,0.491666666666667,0.266666666666667,1.27824210921885,0.516666666666667,0.758333333333333,2.50030651366058,2,1,2,0.706547619047619
"132",21,10,2,4,2,1,60.5,3,0.375,0.325,0.666186730066833,0.441666666666667,0.658333333333333,2.459660989012,2,1,2,0.706547619047619
"133",23,10,1,2,2,1,60.5,3,0.475,0.025,0.342060174544622,0.508333333333333,0.808333333333333,2.53187741677417,2,1,2,0.706547619047619
"134",27,10,1,3,2,1,60.5,3,0.45,0.225,0.575371513764155,0.5,0.575,2.53721706311933,2,1,2,0.706547619047619
"135",33,10,1,1,2,1,60.5,3,0.575,0.258333333333333,0.863670486212092,0.516666666666667,0.7,2.57511451536792,2,1,2,0.706547619047619
"136",39,10,1,2,2,1,60.5,3,0.541666666666667,0.141666666666667,0.72780736287445,0.5,0.783333333333333,2.53905734057633,2,1,2,0.706547619047619
"137",41,10,1,1,2,1,60.5,3,0.508333333333333,0.158333333333333,0.378667241334949,0.508333333333333,0.708333333333333,2.51024481691142,2,1,2,0.706547619047619
"138",46,10,1,3,2,1,60.5,3,0.5,0.55,0.681803472836767,0.55,0.483333333333333,2.52699826854425,2,1,2,0.706547619047619
"139",47,10,2,2,2,1,60.5,3,0.425,0.233333333333333,0.749632215499763,0.458333333333333,0.633333333333333,2.442175254162,2,1,2,0.706547619047619
"140",54,10,1,3,2,1,60.5,3,0.516666666666667,0.2,0.654855600992883,0.508333333333333,0.691666666666667,2.50884576705533,2,1,2,0.706547619047619
